,date,category,description,debit
58,2020-09-23 11:15:07.815379,Music,Netflix,211.40800191123606
59,2020-11-01 09:15:07.815379,Books,Amazon Kindle,409.49565458666495
60,2021-04-05 07:15:07.815379,Utility,Electricity,118.15547598859477
61,2021-01-10 09:15:07.815379,Food,Swiggy,182.63688719152623
62,2021-08-26 11:15:07.815379,Utility,Electricity,191.44268709224332
63,2021-08-18 15:15:07.815379,Music,Amazon,157.34050464688707
64,2020-12-19 14:15:07.815379,Music,Amazon,196.30725905139172
65,2021-02-11 08:15:07.815379,Travel,Auto,433.96600000811196
66,2020-12-29 15:15:07.815379,Music,Netflix,466.7562984772105
67,2021-02-17 11:15:07.815379,Travel,Metro,178.26125745738483
68,2021-01-06 16:15:07.815379,Music,Netflix,489.5069570634831
69,2021-05-18 10:15:07.815379,Books,Amazon,340.04846422559376
70,2021-05-01 10:15:07.815379,Utility,Electricity,249.7879331429329
71,2020-12-25 13:15:07.815379,Utility,Phone,359.72736244936607
72,2021-01-11 16:15:07.815379,Food,Hotel,467.61092430915676
73,2021-07-21 13:15:07.815379,Music,Netflix,259.40122482210757
74,2020-10-28 14:15:07.815379,Food,Swiggy,272.16030559915646
75,2021-06-23 14:15:07.815379,Travel,Metro,253.5371754181714
76,2021-05-14 14:15:07.815379,Utility,Phone,288.20600505758887
77,2021-04-12 13:15:07.815379,Music,spotify,134.1256239746048
78,2020-12-30 12:15:07.815379,Books,Amazon,459.04531817691054
79,2021-04-01 10:15:07.815379,Books,Amazon Kindle,131.23496926686147
80,2020-09-24 07:15:07.815379,Books,Flipcart,227.4860890886676
81,2021-02-18 13:15:07.815379,Books,Flipcart,113.19434168940123
82,2020-11-06 09:15:07.815379,Music,Netflix,272.99318915513084
83,2021-05-27 17:15:07.815379,Utility,Phone,244.74055530278892
84,2021-03-12 11:15:07.815379,Music,Amazon,426.8521397500627
85,2021-05-03 17:15:07.815379,Food,Zomato,223.40166219659466
86,2020-11-20 07:15:07.815379,Food,Zomato,445.59840652333975
87,2021-05-03 09:15:07.815379,Travel,Metro,416.2565522174256
88,2020-09-21 07:15:07.815379,Utility,Phone,367.12341919205045
89,2020-10-12 10:15:07.815379,Music,Amazon,430.9708613631159
90,2020-09-29 16:15:07.815379,Travel,Auto,318.5102223236555
91,2021-02-18 13:15:07.815379,Food,Swiggy,310.13347133046216
92,2021-09-11 09:15:07.815379,Food,Swiggy,118.07140423650168
93,2021-06-15 09:15:07.815379,Travel,Metro,454.3295830387988
94,2021-07-11 07:15:07.815379,Utility,Phone,127.51664067839958
95,2020-12-22 16:15:07.815379,Music,spotify,328.9925875329303
96,2020-10-04 12:15:07.815379,Travel,Metro,143.9111171402323
97,2020-11-15 10:15:07.815379,Books,Flipcart,238.46557083292842
98,2020-12-08 09:15:07.815379,Music,Netflix,172.05164190983777
99,2021-07-31 13:15:07.815379,Utility,Electricity,345.67126353343826
